08-29 03:49:03 exp/93 arm=B cpu_total=113.6min delta_5min=39.3min ram=2.86GB
08-29 03:54:03 exp/93 arm=B cpu_total=151.3min delta_5min=37.7min ram=2.64GB
08-29 03:59:04 exp/93 arm=B cpu_total=190.5min delta_5min=39.2min ram=2.95GB
08-29 04:04:04 exp/93 arm=B cpu_total=231.1min delta_5min=40.6min ram=2.49GB
08-29 04:09:05 exp/93 arm=B cpu_total=269.9min delta_5min=38.8min ram=2.73GB
08-29 04:14:06 exp/93 arm=B cpu_total=310.2min delta_5min=40.3min ram=2.43GB
08-29 04:19:06 exp/93 arm=B cpu_total=352.9min delta_5min=42.7min ram=2.39GB
08-29 04:24:07 exp/93 arm=B cpu_total=395.5min delta_5min=42.6min ram=2.91GB
08-29 04:29:07 exp/93 arm=B cpu_total=437.0min delta_5min=41.5min ram=2.84GB
08-29 04:34:07 exp/93 arm=B cpu_total=480.0min delta_5min=43.0min ram=1.75GB
08-29 04:39:07 exp/93 arm=B cpu_total=523.1min delta_5min=43.1min ram=2.96GB
08-29 04:44:08 exp/93 arm=B cpu_total=564.0min delta_5min=40.8min ram=2.89GB
08-29 04:49:09 exp/93 arm=B cpu_total=606.7min delta_5min=42.7min ram=3.29GB
08-29 04:54:09 exp/93 arm=B cpu_total=649.0min delta_5min=42.3min ram=2.54GB
08-29 04:59:09 exp/93 arm=B cpu_total=691.3min delta_5min=42.3min ram=2.13GB
08-29 05:04:09 exp/93 arm=B cpu_total=733.5min delta_5min=42.2min ram=2.56GB
08-29 05:09:10 exp/93 arm=B cpu_total=776.0min delta_5min=42.5min ram=2.56GB
08-29 05:19:15 exp/93 arm=M4 cpu_total=39.0min delta_5min=39.0min ram=2.44GB
08-29 05:24:15 exp/93 arm=M4 cpu_total=78.5min delta_5min=39.6min ram=1.56GB
08-29 16:04:43 exp/93 arm=M4 cpu_total=118.3min delta_5min=39.7min ram=2.28GB
08-29 16:09:49 exp/93 arm=M4 cpu_total=152.0min delta_5min=33.7min ram=1.97GB
08-29 16:15:06 exp/93 arm=M4 cpu_total=186.7min delta_5min=34.7min ram=1.80GB
08-29 16:20:17 exp/93 arm=M4 cpu_total=221.2min delta_5min=34.5min ram=2.78GB
08-29 16:25:19 exp/93 arm=M4 cpu_total=255.6min delta_5min=34.4min ram=2.06GB
